Ref,citation,created,event,text,type,url
584,,2019-09-21T20:26:16.380,S190910d,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190910d_moll_rot.thumb.png
585,,2019-09-21T20:26:22.003,S190910d,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190910d_cart_rot.png
586,,2019-09-21T20:26:22.004,S190910d,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190910d_cart_rot.thumb.png
587,,2019-09-21T20:26:38.404,S190910d,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190910d_8192.png
588,,2019-09-21T20:39:25.933,S190910d,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190910d-tiles
589,,,S190910d,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190910d/
590,,,S190915ak,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190915ak/
591,,,S190915ak,Sky Map,skymap-fits,https://gracedb.ligo.org/api/superevents/S190915ak/files/LALInference.fits.gz
592,,2019-09-21T20:27:37.023,S190915ak,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190915ak_moll.png
593,,2019-09-21T20:27:37.024,S190915ak,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190915ak_moll.thumb.png
594,,2019-09-21T20:27:41.698,S190915ak,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190915ak_cartzoom.png
595,,2019-09-21T20:27:41.699,S190915ak,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190915ak_cartzoom.thumb.png
596,,2019-09-21T20:27:47.619,S190915ak,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190915ak_cart.png
597,,2019-09-21T20:27:47.621,S190915ak,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190915ak_cart.thumb.png
598,,2019-09-21T20:27:54.969,S190915ak,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190915ak_moll_rot.png
599,,2019-09-21T20:27:54.969,S190915ak,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190915ak_moll_rot.thumb.png
600,,2019-09-21T20:28:01.302,S190915ak,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190915ak_cart_rot.png
601,,2019-09-21T20:28:01.302,S190915ak,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190915ak_cart_rot.thumb.png
602,,2019-09-21T20:28:15.474,S190915ak,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190915ak_8192.png
603,,2019-09-21T20:51:18.744,S190915ak,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190915ak-tiles
604,,,S190924h,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190924h/
605,,,S190924h,Sky Map,skymap-fits,"https://gracedb.ligo.org/api/superevents/S190924h/files/bayestar.fits.gz,0"
606,,2019-09-24T20:17:36.710,S190924h,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190924h_moll.png
607,,2019-09-24T20:17:36.710,S190924h,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190924h_moll.thumb.png
608,,2019-09-24T20:17:41.992,S190924h,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190924h_cartzoom.png
609,,2019-09-24T20:17:41.993,S190924h,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190924h_cartzoom.thumb.png
610,,2019-09-24T20:17:48.359,S190924h,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190924h_cart.png
611,,2019-09-24T20:17:48.359,S190924h,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190924h_cart.thumb.png
612,,2019-09-24T20:17:54.704,S190924h,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190924h_moll_rot.png
613,,2019-09-24T20:17:54.704,S190924h,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190924h_moll_rot.thumb.png
614,,2019-09-24T20:18:01.340,S190924h,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190924h_cart_rot.png
615,,2019-09-24T20:18:01.341,S190924h,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190924h_cart_rot.thumb.png
616,,2019-09-24T20:18:15.490,S190924h,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190924h_8192.png
617,,2019-09-24T20:29:45.598,S190924h,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190924h-tiles
618,,,S190923y,GraceDB data,open-data,https://gracedb.ligo.org/api/superevents/S190923y/
619,,,S190923y,Sky Map,skymap-fits,"https://gracedb.ligo.org/api/superevents/S190923y/files/bayestar.fits.gz,0"
620,,2019-09-24T20:16:48.687,S190923y,Skymap (Mollweide fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190923y_moll.png
621,,2019-09-24T20:16:48.688,S190923y,Skymap (Mollweide fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190923y_moll.thumb.png
622,,2019-09-24T20:16:52.952,S190923y,Skymap (Cartesian zoomed),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190923y_cartzoom.png
623,,2019-09-24T20:16:52.953,S190923y,Skymap (Cartesian zoomed),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190923y_cartzoom.thumb.png
624,,2019-09-24T20:16:59.005,S190923y,Skymap (Cartesian fullsky),skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190923y_cart.png
625,,2019-09-24T20:16:59.005,S190923y,Skymap (Cartesian fullsky),skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190923y_cart.thumb.png
626,,2019-09-24T20:17:05.513,S190923y,"Skymap (Mollweide fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190923y_moll_rot.png
627,,2019-09-24T20:17:05.514,S190923y,"Skymap (Mollweide fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190923y_moll_rot.thumb.png
628,,2019-09-24T20:17:11.749,S190923y,"Skymap (Cartesian fullsky, rotated)",skymap-plot,https://data.cardiffgravity.org/gwcat-data/data/png/S190923y_cart_rot.png
629,,2019-09-24T20:17:11.750,S190923y,"Skymap (Cartesian fullsky, rotated)",skymap-thumbnail,https://data.cardiffgravity.org/gwcat-data/data/png/S190923y_cart_rot.thumb.png
630,,2019-09-24T20:17:28.404,S190923y,Skymap (no annotations),skymap-plain,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190923y_8192.png
631,,2019-09-24T20:23:55.983,S190923y,Gravoscope tileset,gravoscope-tiles,https://data.cardiffgravity.org/gwcat-data/data/gravoscope/S190923y-tiles
